"vss","mom","ds"
"914354.116666667","mom1","ads"
"1113326.64375","mom1","ids"
"656286.035714286","mom1","pds"
"309020.15","mom10","ads"
"701481.852121212","mom10","ids"
"743764.084710744","mom10","pds"
"466571.05","mom2","ads"
"1061158.91666667","mom2","ids"
"1104405.31428571","mom2","pds"
"762415.069047619","mom3","ads"
"1098962.01333333","mom3","ids"
"843897.324489796","mom3","pds"
"200125.938888889","mom4","ads"
"1155577.13265306","mom4","ids"
"1158065.8452381","mom4","pds"
"677167.38125","mom5","ads"
"984842.830952381","mom5","ids"
"1164116.425","mom5","pds"
"634245.597222222","mom6","ads"
"1030471.71904762","mom6","ids"
"533816.44","mom6","pds"
"833807.6875","mom7","ads"
"313551.703703704","mom7","ids"
"713068.091666667","mom7","pds"
"630807.037105751","mom8","ads"
"947361.907967033","mom8","ids"
"1087599.4436553","mom8","pds"
"474797.361111111","mom9","ads"
"483100.564738292","mom9","ids"
"425564.092032967","mom9","pds"
