"mom","ads","ids","pds"
"mom1",914354.116666667,1089365.30208333,656286.035714286
"mom10",309020.15,701481.852121212,743764.084710744
"mom2",466571.05,1061158.91666667,910698.980952381
"mom3",762415.069047619,1098962.01333333,843897.324489796
"mom4",200125.938888889,1155577.13265306,1158065.8452381
"mom5",677167.38125,984842.830952381,1164116.425
"mom6",634245.597222222,1030471.71904762,533816.44
"mom7",833807.6875,313551.703703704,713068.091666667
"mom8",630807.037105751,947361.907967033,1087599.4436553
"mom9",474797.361111111,483100.564738292,424164.144427002
